"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","6605","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","4","1","7.871440","0","4"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","15.556638","0","8"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","5","1","17.998951","0","5"
"/Game/Fantastic_Village_Pack/materials/master_materials/M_Master_skybox_day.M_Master_skybox_day","0","7","8","1","18.615200","0","8"
"/Game/Fantastic_Village_Pack/materials/master_materials/M_Master_landscape.M_Master_landscape","0","83","83","7","181.872406","0","83"
"/Game/Fantastic_Village_Pack/materials/master_materials/M_Master_opaque_emissive.M_Master_opaque_emissive","0","5","5","1","17.022707","0","5"
"/Game/AdvancedVillagePack/Materials/M_Pfx_Additive.M_Pfx_Additive","0","11","11","1","16.114464","0","11"
"/Game/AdvancedVillagePack/Materials/M_Uber_Cutout_Wind.M_Uber_Cutout_Wind","0","32","36","1","117.934723","0","36"
"/Game/AdvancedVillagePack/Materials/M_Uber_Cutout.M_Uber_Cutout","0","32","36","1","178.513840","0","36"
"/Game/AdvancedVillagePack/Materials/M_Uber.M_Uber","0","5","5","1","17.101191","0","5"
"/Game/ThirdPerson/Materials/grass.grass","0","5","13","1","50.355610","13","23"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","53","58","6","170.964233","0","58"
"/Game/Stylized_PBR_Nature/Terrain/M_Water_Basic.M_Water_Basic","0","5","5","1","15.558187","0","5"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","5","1","5.308677","0","5"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","8","9","1","96.705444","0","9"
"/Game/Fantastic_Village_Pack/materials/master_materials/M_Master_CLR.M_Master_CLR","0","26","26","2","243.532974","0","26"
"/Game/Fantastic_Village_Pack/materials/M_CLR_assets_grid.M_CLR_assets_grid","0","5","5","1","38.228264","0","5"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","8","1","69.497505","0","8"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","7","1","49.223717","0","7"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","14.797023","0","4"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","14","16","1","221.785187","0","16"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","13","13","1","217.497009","0","13"
"/Game/AdvancedVillagePack/Materials/M_Pfx_TranslucentLit.M_Pfx_TranslucentLit","0","20","20","1","70.498726","0","20"
"/Game/AdvancedVillagePack/Materials/M_Pfx_Diffuse_TwoSidedFoliage.M_Pfx_Diffuse_TwoSidedFoliage","0","44","50","1","132.234512","0","50"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","8","8","1","88.774086","0","8"
"/Game/AdvancedVillagePack/Materials/M_Landscape.M_Landscape","0","44","44","4","112.961395","0","44"
"/Game/AdvancedVillagePack/Materials/M_Water.M_Water","0","14","14","1","68.248230","0","14"
"/Game/AdvancedVillagePack/Materials/M_Simple_Cutout.M_Simple_Cutout","0","32","36","1","119.988686","0","36"
"/Game/AdvancedVillagePack/Materials/M_Simple_Cutout_Wind.M_Simple_Cutout_Wind","0","32","36","1","186.155533","0","36"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","8","9","1","41.994423","0","9"
"/Game/Fantastic_Village_Pack/materials/master_materials/M_Master_opaque_normal.M_Master_opaque_normal","0","16","18","1","182.711411","0","18"
"/Game/Characters/Mannequin_UE4/Materials/M_MannequinUE4_Body.M_MannequinUE4_Body","0","60","68","2","161.711945","0","68"
"/Game/Fantastic_Village_Pack/materials/master_materials/M_Master_water.M_Master_water","0","12","12","1","64.797966","0","12"
"/Game/Fantastic_Village_Pack/materials/M_FX_windtrail.M_FX_windtrail","0","8","8","1","12.198189","0","8"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","8","8","1","27.687681","0","8"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","40","46","2","103.066650","0","46"
"/Interchange/gltf/M_Unlit.M_Unlit","0","110","120","6","189.198425","0","120"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","14","1","30.925110","0","14"
"/Game/Fantastic_Village_Pack/materials/master_materials/M_Master_transparent_plants_wind.M_Master_transparent_plants_wind","0","32","36","1","102.824539","0","36"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","12","12","1","22.835989","0","12"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","88","88","1","1617.622437","0","88"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","5","1","4.823061","0","5"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","8","8","1","25.181957","0","8"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","5","5","1","15.218831","0","5"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","5","1","4.761948","0","5"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","5","1","5.763243","0","5"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","16","16","2","112.927490","0","16"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","45","45","1","89.849884","0","45"
"/Engine/TemplateResources/M_Template_Master.M_Template_Master","0","8","8","1","0.000000","0","8"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","8","8","1","32.785385","0","8"
"/Game/ThirdPerson/Models/yonFBX/White_002.White_002","0","5","5","1","0.000000","0","5"
"/Game/ThirdPerson/Models/yonFBX/Studio_Setup_Mtl_9_001.Studio_Setup_Mtl_9_001","0","5","5","1","0.000000","0","5"
"/Game/ThirdPerson/Models/yonFBX/Studio_Setup_Mtl_8_001.Studio_Setup_Mtl_8_001","0","5","5","1","0.000000","0","5"
"/Game/ThirdPerson/Models/yonFBX/Studio_Setup_Mtl_7_001.Studio_Setup_Mtl_7_001","0","5","5","1","0.000000","0","5"
"/Game/ThirdPerson/Models/yonFBX/Studio_Setup_Mtl_6_001.Studio_Setup_Mtl_6_001","0","5","5","1","0.000000","0","5"
"/Game/ThirdPerson/Models/yonFBX/Studio_Setup_Mtl_5_001.Studio_Setup_Mtl_5_001","0","5","5","1","0.000000","0","5"
"/Game/ThirdPerson/Models/yonFBX/Studio_Setup_Mtl_4_001.Studio_Setup_Mtl_4_001","0","5","5","1","0.000000","0","5"
"/Game/ThirdPerson/Models/yonFBX/Studio_Setup_Mtl_3_001.Studio_Setup_Mtl_3_001","0","5","5","1","0.000000","0","5"
"/Game/ThirdPerson/Models/yonFBX/Studio_Setup_Mtl_2_001.Studio_Setup_Mtl_2_001","0","5","5","1","0.000000","0","5"
"/Game/ThirdPerson/Models/yonFBX/Studio_Setup_Mtl_1_001.Studio_Setup_Mtl_1_001","0","5","5","1","0.000000","0","5"
"/Game/ThirdPerson/Models/yonFBX/Studio_Setup_Mtl_19_001.Studio_Setup_Mtl_19_001","0","5","5","1","0.000000","0","5"
"/Game/ThirdPerson/Models/yonFBX/Studio_Setup_Mtl_18_001.Studio_Setup_Mtl_18_001","0","5","5","1","0.000000","0","5"
"/Game/ThirdPerson/Models/yonFBX/Studio_Setup_Mtl_17_001.Studio_Setup_Mtl_17_001","0","5","5","1","0.000000","0","5"
